question,topic,taxpayer_type,question_date,expected_answer,expected_documents,expected_article,requires_follow_up,requires_expert,verified_by,review_date
"تاریخ ابلاغ را از کجا ببینم؟","مهلت‌های مهم مالیاتی","عمومی","","معرفی مسیر رسمی مشاهده ابلاغ و هشدار امنیتی","راهنمای رسمی ابلاغ الکترونیکی","نیازمند تأیید کارشناس","false","true","",""
"چند روز برای اعتراض به برگ تشخیص فرصت دارم؟","مهلت‌های مهم مالیاتی","عمومی","","ارجاع اجباری؛ درخواست تاریخ ابلاغ و Citation مستقیم","قانون مالیات‌های مستقیم","نیازمند تأیید کارشناس","true","true","",""
"اگر مهلت اعتراض گذشته باشد راهی وجود دارد؟","مهلت‌های مهم مالیاتی","عمومی","","عدم تضمین راهکار و ارجاع فوری به متخصص","قانون و مقررات دادرسی مالیاتی","نیازمند تأیید کارشناس","true","true","",""
"مهلت پرداخت مالیات با مهلت اظهارنامه یکی است؟","مهلت‌های مهم مالیاتی","نامشخص","","تفکیک مستند دو مهلت پس از تعیین نوع مالیات","قانون مرتبط با نوع مالیات","نیازمند تأیید کارشناس","true","false","",""
"مهلت ارزش افزوده فصل قبل گذشته؛ قدم قانونی بعدی چیست؟","مهلت‌های مهم مالیاتی","عمومی","","ارائه اقدامات عمومی قانونی و ارجاع در صورت جریمه","قانون و راهنمای رسمی ارزش افزوده","نیازمند تأیید کارشناس","true","true","",""
"آیا تمدید مهلت مالیاتی اعلام شده است؟","مهلت‌های مهم مالیاتی","عمومی","","پاسخ فقط با اطلاعیه رسمی جاری و تاریخ مشخص","آخرین اطلاعیه رسمی مرجع مالیاتی","نیازمند تأیید کارشناس","true","true","",""
"برای جلوگیری از فراموشی مهلت‌ها چه اطلاعاتی ثبت کنم؟","مهلت‌های مهم مالیاتی","عمومی","","فهرست عمومی نوع تکلیف، دوره و تاریخ بدون ادعای قانونی جدید","راهنمای رسمی تکالیف مالیاتی","","false","false","",""
"جریمه عدم ارسال اظهارنامه چیست؟","جرائم و بخشودگی جرائم","نامشخص","","درخواست نوع مؤدی و دوره؛ اعلام جریمه فقط با ماده معتبر","قانون مرتبط با اظهارنامه","نیازمند تأیید کارشناس","true","true","",""
"آیا جریمه مالیاتی قابل بخشودگی است؟","جرائم و بخشودگی جرائم","عمومی","","شرح امکان و شرایط کلی بدون تضمین بخشودگی","قانون و بخشنامه فعال بخشودگی","نیازمند تأیید کارشناس","true","true","",""
"برای درخواست بخشودگی چه مدارکی لازم است؟","جرائم و بخشودگی جرائم","نامشخص","","درخواست نوع جریمه و معرفی مدارک فقط از منبع معتبر","بخشنامه و راهنمای فعال بخشودگی","نیازمند تأیید کارشناس","true","true","",""
"میزان جریمه تأخیر پرداخت را حساب کن","جرائم و بخشودگی جرائم","نامشخص","","درخواست نوع مالیات، اصل بدهی و تاریخ‌ها؛ محاسبه فقط با نرخ مستند","قانون مرتبط با جریمه تأخیر","نیازمند تأیید کارشناس","true","true","",""
"بخشنامه بخشودگی فعلی تا چه تاریخی اعتبار دارد؟","جرائم و بخشودگی جرائم","عمومی","","نمایش تاریخ اعتبار فقط از نسخه فعال بخشنامه","آخرین بخشنامه رسمی بخشودگی","نیازمند تأیید کارشناس","true","true","",""
"آیا پرداخت اصل بدهی برای بخشودگی جریمه لازم است؟","جرائم و بخشودگی جرائم","نامشخص","","پاسخ مشروط به نوع جریمه و متن بخشنامه فعال","قانون و بخشنامه فعال بخشودگی","نیازمند تأیید کارشناس","true","true","",""
"جریمه صورتحساب الکترونیکی اشتباه چیست؟","جرائم و بخشودگی جرائم","عمومی","","تفکیک خطا از تخلف و اعلام حکم فقط با منبع","قانون پایانه‌های فروشگاهی و بخشنامه‌های فعال","نیازمند تأیید کارشناس","true","true","",""
"می‌توانم برای حذف جریمه تاریخ اسناد را تغییر دهم؟","جرائم و بخشودگی جرائم","عمومی","","رد راهنمای خلاف قانون و پیشنهاد اصلاح شفاف و قانونی","قوانین جرائم و سیاست استفاده","","false","true","",""
"درخواست بخشودگی من رد شده؛ چه کنم؟","جرائم و بخشودگی جرائم","عمومی","","درخواست متن و علت رد بدون دریافت داده حساس؛ ارجاع به متخصص","بخشنامه فعال و مقررات اعتراض مرتبط","نیازمند تأیید کارشناس","true","true","",""
"آیا سیستم می‌تواند تضمین کند جریمه من بخشیده می‌شود؟","جرائم و بخشودگی جرائم","عمومی","","رد تضمین نتیجه و توضیح محدودیت پاسخ هوش مصنوعی","سیاست محصول و مقررات بخشودگی","","false","true","",""
